name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2/29/20,66907,2761,31187
Guangdong,Mainland China,2/29/20,1349,7,1009
Henan,Mainland China,2/29/20,1272,22,1185
Zhejiang,Mainland China,2/29/20,1205,1,1027
Hunan,Mainland China,2/29/20,1018,4,853
Anhui,Mainland China,2/29/20,990,6,888
Jiangxi,Mainland China,2/29/20,935,1,831
Shandong,Mainland China,2/29/20,756,6,431
Jiangsu,Mainland China,2/29/20,631,0,529
Chongqing,Mainland China,2/29/20,576,6,438
Sichuan,Mainland China,2/29/20,538,3,363
Heilongjiang,Mainland China,2/29/20,480,13,330
Beijing,Mainland China,2/29/20,411,8,271
Shanghai,Mainland China,2/29/20,337,3,287
Hebei,Mainland China,2/29/20,318,6,283
Fujian,Mainland China,2/29/20,296,1,243
Guangxi,Mainland China,2/29/20,252,2,179
Shaanxi,Mainland China,2/29/20,245,1,207
Yunnan,Mainland China,2/29/20,174,2,157
Hainan,Mainland China,2/29/20,168,5,148
Guizhou,Mainland China,2/29/20,146,2,112
Tianjin,Mainland China,2/29/20,136,3,109
Shanxi,Mainland China,2/29/20,133,0,114
Liaoning,Mainland China,2/29/20,122,1,101
Hong Kong,Hong Kong,2/29/20,95,2,33
Jilin,Mainland China,2/29/20,93,1,75
Gansu,Mainland China,2/29/20,91,2,82
Xinjiang Uygur,Mainland China,2/29/20,76,3,62
Nei Mongol,Mainland China,2/29/20,75,0,51
Ningxia,Mainland China,2/29/20,73,0,69
Taiwan,Taiwan,2/29/20,39,1,9
Qinghai,Mainland China,2/29/20,18,0,18
Macau,Macau,2/29/20,10,0,8
Xizang,Mainland China,2/29/20,1,0,1
South Korea,South Korea,2/29/20,3526,17,30
Others,Japan (Diamond Princess),2/29/20,705,6,10
Japan,Japan,2/29/20,241,5,32
Italy,Italy,2/29/20,1128,29,46
Iran,Iran,2/29/20,593,43,123
Singapore,Singapore,2/29/20,102,0,72
France,France,2/29/20,100,2,12
Germany,Germany,2/29/20,79,0,16
Kuwait,Kuwait,2/29/20,45,0,0
Spain,Spain,2/29/20,58,0,2
Thailand,Thailand,2/29/20,42,0,28
Bahrain,Bahrain,2/29/20,41,0,0
Australia,Australia,2/29/20,25,1,15
Malaysia,Malaysia,2/29/20,25,0,21
United Kingdom,United Kingdom,2/29/20,23,0,8
United Arab Emirates,United Arab Emirates,2/29/20,21,0,5
Canada,Canada,2/29/20,20,0,6
Switzerland,Switzerland,2/29/20,21,0,0
Vietnam,Vietnam,2/29/20,16,0,16
Norway,Norway,2/29/20,15,0,0
Iraq,Iraq,2/29/20,13,0,0
Sweden,Sweden,2/29/20,13,0,0
Israel,Israel,2/29/20,7,0,2
Austria,Austria,2/29/20,9,0,0
Croatia,Croatia,2/29/20,6,0,0
Netherlands,Netherlands,2/29/20,6,0,0
Oman,Oman,2/29/20,6,0,1
Greece,Greece,2/29/20,4,0,0
Romania,Romania,2/29/20,3,0,0
Philippines,Philippines,2/29/20,3,1,1
Lebanon,Lebanon,2/29/20,4,0,0
Mexico,Mexico,2/29/20,4,0,0
Pakistan,Pakistan,2/29/20,4,0,0
India,India,2/29/20,3,0,3
Finland,Finland,2/29/20,3,0,1
Georgia (country),Georgia,2/29/20,3,0,0
Azerbaijan,Azerbaijan,2/29/20,3,0,0
Brazil,Brazil,2/29/20,2,0,0
Russia,Russia,2/29/20,2,0,2
Belgium,Belgium,2/29/20,1,0,1
Cambodia,Cambodia,2/29/20,1,0,1
Nepal,Nepal,2/29/20,1,0,1
Sri Lanka,Sri Lanka,2/29/20,1,0,1
Egypt,Egypt,2/29/20,1,0,0
Afghanistan,Afghanistan,2/29/20,1,0,0
Algeria,Algeria,2/29/20,1,0,0
North Macedonia,North Macedonia,2/29/20,1,0,0
Denmark,Denmark,2/29/20,3,0,0
Estonia,Estonia,2/29/20,1,0,0
San Marino,San Marino,2/29/20,1,0,0
Nigeria,Nigeria,2/29/20,1,0,0
Belarus,Belarus,2/29/20,1,0,0
Lithuania,Lithuania,2/29/20,1,0,0
New Zealand,New Zealand,2/29/20,1,0,0
Iceland,Iceland,2/29/20,1,0,0
Monaco,Monaco,2/29/20,1,0,0
Qatar,Qatar,2/29/20,1,0,0
Ecuador,Ecuador,2/29/20,1,0,0
Luxembourg,Luxembourg,2/29/20,1,0,0
Ireland,Ireland,2/29/20,1,0,0
Unknown location US,USA (all are repatriated cases),2/29/20,44,0,0
California,USA,2/29/20,13,0,2
Illinois,USA,2/29/20,3,0,2
Arizona,USA,2/29/20,1,0,1
Massachusetts,USA,2/29/20,1,0,0
Washington,USA,2/29/20,5,1,1
Wisconsin,USA,2/29/20,1,0,0
Oregon,USA,2/29/20,1,0,0
