name,Region,Last Update,Confirmed,Deaths,Recovered,
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),4/19/20,2,0,0,
Malawi,Malawi,4/19/20,17,2,0,
Burundi,Burundi,4/19/20,5,0,0,
Sierra Leone,Sierra Leone,4/19/20,35,0,6,
Botswana,Botswana,4/19/20,20,1,0,
Anguilla,Anguilla,4/19/20,3,0,0,
Saint Barthelemy,Saint Barthelemy,4/19/20,6,0,1,
Bermuda,Bermuda,4/19/20,86,5,35,
Faroe Islands,Faroe Islands,4/19/20,185,0,176,
Gibraltar,Gibraltar,4/19/20,132,0,105,
Isle of Man,Isle of Man,4/19/20,298,6,193,
Saint Martin,Saint Martin,4/19/20,37,2,19,
Montserrat,Montserrat,4/19/20,11,0,1,
Mayotte,Mayotte,4/19/20,271,4,117,
New Caledonia,New Caledonia,4/19/20,18,0,1,
Sint Maarten,Sint Maarten,4/19/20,67,10,12,
Turks and Caicos Islands,Turks and Caicos Islands,4/19/20,11,1,0,
Republic of the Congo,Republic of the Congo,4/19/20,143,6,11,
Angola,Angola,4/19/20,24,2,6,
Benin,Benin,4/19/20,35,1,5,
Bahamas,Bahamas,4/19/20,55,9,10,
Belize,Belize,4/19/20,18,2,0,
Barbados,Barbados,4/19/20,75,5,15,
Central African Republic,Central African Republic,4/19/20,12,0,4,
Cabo Verde,Cabo Verde,4/19/20,61,1,1,
Djibouti,Djibouti,4/19/20,846,2,102,
Dominica,Dominica,4/19/20,16,0,8,
Eritrea,Eritrea,4/19/20,39,0,3,
Fiji,Fiji,4/19/20,17,0,0,
Gambia,Gambia,4/19/20,9,1,2,
Guinea-Bissau,Guinea-Bissau,4/19/20,50,0,3,
Equatorial Guinea,Equatorial Guinea,4/19/20,79,0,4,
Grenada,Grenada,4/19/20,14,0,0,
Haiti,Haiti,4/19/20,44,3,0,
Kyrgyzstan,Kyrgyzstan,4/19/20,554,5,133,
Saint Kitts and Nevis,Saint Kitts and Nevis,4/19/20,14,0,0,
Laos,Laos,4/19/20,19,0,0,
Liberia,Liberia,4/19/20,91,8,7,
Libya,Libya,4/19/20,49,1,11,
Madagascar,Madagascar,4/19/20,121,0,39,
Mali,Mali,4/19/20,224,14,42,
Montenegro,Montenegro,4/19/20,308,5,55,
Mozambique,Mozambique,4/19/20,39,0,8,
Mauritius,Mauritius,4/19/20,328,9,208,
Niger,Niger,4/19/20,648,20,117,
Nicaragua,Nicaragua,4/19/20,10,2,6,
Papua New Guinea,Papua New Guinea,4/19/20,7,0,0,
El Salvador,El Salvador,4/19/20,201,7,44,
Somalia,Somalia,4/19/20,164,7,3,
Kosovo,Kosovo,4/19/20,510,12,93,
Syria,Syria,4/19/20,39,3,5,
Chad,Chad,4/19/20,33,0,8,
Timor-Leste,Timor-Leste,4/19/20,19,0,1,
Tanzania,Tanzania,4/19/20,170,7,11,
Uganda,Uganda,4/19/20,56,0,20,
Zambia,Zambia,4/19/20,61,2,33,
Zimbabwe,Zimbabwe,4/19/20,25,3,2,
Iran,Iran,4/19/20,82211,5118,57023,
France,France,4/19/20,152894,19718,36578,
Switzerland,Switzerland,4/19/20,27740,1381,17100,
United Kingdom,United Kingdom,4/19/20,121172,16095,436,
Netherlands,Netherlands,4/19/20,32655,3684,6,
Norway,Norway,4/19/20,7078,165,32,
Portugal,Portugal,4/19/20,20206,714,610,
Sweden,Sweden,4/19/20,14385,1540,550,
Australia,Australia,4/19/20,6602,71,4124,
Denmark,Denmark,4/19/20,7384,355,4141,
Malaysia,Malaysia,4/19/20,5389,89,3197,
Israel,Israel,4/19/20,13491,172,3754,
Turkey,Turkey,4/19/20,86306,2017,11976,
Czech Republic,Czech Republic,4/19/20,6701,186,1298,
Japan,Japan,4/19/20,10797,222,1159,
Ireland,Ireland,4/19/20,15251,610,77,
Pakistan,Pakistan,4/19/20,8348,168,1868,
Luxembourg,Luxembourg,4/19/20,3550,73,627,
Ecuador,Ecuador,4/19/20,9468,474,1061,
Thailand,Thailand,4/19/20,2765,47,1928,
Finland,Finland,4/19/20,3783,94,1700,
Others,Japan (Diamond Princess),4/19/20,706,6,10,
Poland,Poland,4/19/20,9287,360,1040,
Iceland,Iceland,4/19/20,1771,9,1291,
Indonesia,Indonesia,4/19/20,6575,582,686,
Romania,Romania,4/19/20,8746,434,1892,
Saudi Arabia,Saudi Arabia,4/19/20,9362,97,1398,
Singapore,Singapore,4/19/20,6588,11,740,
Qatar,Qatar,4/19/20,5448,8,518,
Philippines,Philippines,4/19/20,6259,409,572,
Slovenia,Slovenia,4/19/20,1330,74,192,
Russia,Russia,4/19/20,42853,361,3291,
South Africa,South Africa,4/19/20,3158,54,903,
Estonia,Estonia,4/19/20,1528,40,164,
Bahrain,Bahrain,4/19/20,1881,7,759,
Egypt,Egypt,4/19/20,3144,239,732,
Mexico,Mexico,4/19/20,7497,650,2627,
Croatia,Croatia,4/19/20,1871,47,709,
Panama,Panama,4/19/20,4273,120,140,
Lebanon,Lebanon,4/19/20,673,21,99,
Iraq,Iraq,4/19/20,1539,82,1009,
Serbia,Serbia,4/19/20,5994,117,637,
Dominican Republic,Dominican Republic,4/19/20,4680,226,363,
Algeria,Algeria,4/19/20,2629,375,1047,
Armenia,Armenia,4/19/20,1291,20,545,
Kuwait,Kuwait,4/19/20,1915,7,305,
Bulgaria,Bulgaria,4/19/20,894,42,161,
Slovakia,Slovakia,4/19/20,1161,12,229,
San Marino,San Marino,4/19/20,461,39,60,
United Arab Emirates,United Arab Emirates,4/19/20,6781,41,1286,
Latvia,Latvia,4/19/20,727,5,88,
Uruguay,Uruguay,4/19/20,517,9,298,
Hungary,Hungary,4/19/20,1916,189,250,
Lithuania,Lithuania,4/19/20,1298,33,242,
Costa Rica,Costa Rica,4/19/20,660,4,112,
North Macedonia,North Macedonia,4/19/20,1207,51,179,
Vietnam,Vietnam,4/19/20,268,0,198,
Andorra,Andorra,4/19/20,713,36,235,
Morocco,Morocco,4/19/20,2855,141,327,
Jordan,Jordan,4/19/20,417,7,276,
Cyprus,Cyprus,4/19/20,767,12,81,
Moldova,Moldova,4/19/20,2472,67,457,
Bosnia and Herzegovina,Bosnia and Herzegovina,4/19/20,1285,48,347,
Malta,Malta,4/19/20,427,3,118,
Albania,Albania,4/19/20,562,26,314,
Brunei,Brunei,4/19/20,138,1,115,
Cambodia,Cambodia,4/19/20,122,0,98,
Sri Lanka,Sri Lanka,4/19/20,271,7,96,
Belarus,Belarus,4/19/20,4779,42,342,
Tunisia,Tunisia,4/19/20,879,38,43,
Burkina Faso,Burkina Faso,4/19/20,576,36,338,
Venezuela,Venezuela,4/19/20,227,9,113,
New Zealand,New Zealand,4/19/20,1431,12,912,
Azerbaijan,Azerbaijan,4/19/20,1398,19,712,
Kazakhstan,Kazakhstan,4/19/20,1676,17,400,
Senegal,Senegal,4/19/20,367,3,220,
Guadeloupe,Guadeloupe,4/19/20,148,8,73,
Oman,Oman,4/19/20,1266,6,233,
Georgia (country),Georgia,4/19/20,394,4,86,
Trinidad and Tobago,Trinidad and Tobago,4/19/20,114,8,20,
Ukraine,Ukraine,4/19/20,5449,141,347,
Reunion,Reunion,4/19/20,408,0,237,
Uzbekistan,Uzbekistan,4/19/20,1565,5,225,
Cameroon,Cameroon,4/19/20,1017,22,177,
Martinique,Martinique,4/19/20,163,12,73,
Liechtenstein,Liechtenstein,4/19/20,79,1,55,
Afghanistan,Afghanistan,4/19/20,996,33,131,
Palestine,Palestine,4/19/20,322,2,71,
Democratic Republic of the Congo,Democratic Republic of the Congo,4/19/20,327,25,26,
Bangladesh,Bangladesh,4/19/20,2456,91,75,
Nigeria,Nigeria,4/19/20,542,19,166,
Honduras,Honduras,4/19/20,472,46,15,
Bolivia,Bolivia,4/19/20,520,32,31,
Paraguay,Paraguay,4/19/20,206,8,41,
Cuba,Cuba,4/19/20,1035,34,255,
Ghana,Ghana,4/19/20,834,9,99,
French Guiana,French Guiana,4/19/20,96,0,61,
Rwanda,Rwanda,4/19/20,147,0,76,
Guatemala,Guatemala,4/19/20,257,7,21,
Jamaica,Jamaica,4/19/20,173,5,25,
Togo,Togo,4/19/20,84,5,49,
Kenya,Kenya,4/19/20,270,14,67,
Cote d'Ivoire,Cote d'Ivoire,4/19/20,847,9,260,
Maldives,Maldives,4/19/20,52,0,16,
Monaco,Monaco,4/19/20,94,3,20,
Ethiopia,Ethiopia,4/19/20,108,3,16,
Mongolia,Mongolia,4/19/20,32,0,7,
Guyana,Guyana,4/19/20,63,6,9,
Seychelles,Seychelles,4/19/20,11,0,0,
Suriname,Suriname,4/19/20,10,0,0,
Gabon,Gabon,4/19/20,109,1,7,
French Polynesia,French Polynesia,4/19/20,55,0,0,
Namibia,Namibia,4/19/20,16,0,4,
Bhutan,Bhutan,4/19/20,5,0,2,
Saint Lucia,Saint Lucia,4/19/20,15,0,1,
Sudan,Sudan,4/19/20,66,10,6,
Nepal,Nepal,4/19/20,31,0,2,
Guinea,Guinea,4/19/20,579,5,87,
Aruba,Aruba,4/19/20,97,2,49,
Jersey,Jersey,4/19/20,2,0,0,
Mauritania,Mauritania,4/19/20,7,1,2,
Antigua and Barbuda,Antigua and Barbuda,4/19/20,23,2,0,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,4/19/20,12,0,1,
Curacao,Curacao,4/19/20,14,1,10,
Greenland,Greenland,4/19/20,11,0,3,
Guernsey,Guernsey,4/19/20,1,0,0,
Vatican City,Vatican City,4/19/20,8,0,2,
Cayman Islands,Cayman Islands,4/19/20,61,1,7,
India,India,4/19/20,17304,559,2854,
Canada,Canada,4/19/20,33922,1506,11807,
Italy,Italy,4/19/20,178972,23660,47055,
South Korea,South Korea,4/19/20,10661,234,8042,
Spain,Spain,4/19/20,196664,20639,77357,
Austria,Austria,4/19/20,14749,452,10501,
Belgium,Belgium,4/19/20,38496,5683,8757,
Greece,Greece,4/19/20,2235,113,269,
Chile,Chile,4/19/20,10088,133,4338,
Peru,Peru,4/19/20,15628,400,6811,
Argentina,Argentina,4/19/20,2941,134,709,
Brazil,Brazil,4/19/20,38654,2462,14026,
Colombia,Colombia,4/19/20,3792,179,711,
Germany,Germany,4/19/20,145708,4699,88000,
New York,USA,4/19/20,248417,18298,29275,
New Jersey,USA,4/19/20,85301,4362,730,
Massachusetts,USA,4/19/20,38077,1706,1299,
Pennsylvania,USA,4/19/20,32902,1276,466,
California,USA,4/19/20,31531,1180,3053,
Michigan,USA,4/19/20,31424,2391,3237,
Illinois,USA,4/19/20,30357,1290,606,
Florida,USA,4/19/20,26314,774,174,
Louisiana,USA,4/19/20,23928,1296,0,
Texas,USA,4/19/20,19410,500,5534,
Georgia,USA,4/19/20,18301,687,340,
Connecticut,USA,4/19/20,17962,1127,63,
Maryland,USA,4/19/20,12847,548,914,
Washington,USA,4/19/20,12064,634,1778,
Ohio,USA,4/19/20,11602,471,448,
Indiana,USA,4/19/20,11211,562,1557,
Colorado,USA,4/19/20,9730,422,559,
Virginia,USA,4/19/20,8542,277,721,
Tennessee,USA,4/19/20,7070,148,3344,
North Carolina,USA,4/19/20,6605,200,1177,
Missouri,USA,4/19/20,5807,199,545,
Veteran Affair,USA,4/19/20,5437,326,0,
Arizona,USA,4/19/20,4933,184,6,
Alabama,USA,4/19/20,4903,160,0,
US Military,USA,4/19/20,4849,19,1110,
Rhode Island,USA,4/19/20,4706,150,0,
South Carolina,USA,4/19/20,4377,120,0,
Wisconsin,USA,4/19/20,4346,220,196,
Mississippi,USA,4/19/20,4274,159,0,
Nevada,USA,4/19/20,3728,158,1880,
Utah,USA,4/19/20,3069,27,218,
Kentucky,USA,4/19/20,2960,148,1174,
Iowa,USA,4/19/20,2902,75,1171,
District of Columbia,USA,4/19/20,2793,96,622,
Oklahoma,USA,4/19/20,2599,140,1575,
Delaware,USA,4/19/20,2538,67,466,
Minnesota,USA,4/19/20,2356,134,1160,
Kansas,USA,4/19/20,1941,94,444,
Oregon,USA,4/19/20,1910,74,42,
New Mexico,USA,4/19/20,1845,55,465,
Arkansas,USA,4/19/20,1781,39,726,
Idaho,USA,4/19/20,1672,44,520,
South Dakota,USA,4/19/20,1635,7,646,
Nebraska,USA,4/19/20,1474,28,0,
New Hampshire,USA,4/19/20,1392,41,513,
Puerto Rico,USA,4/19/20,1213,62,0,
Navajo Nation,USA,4/19/20,1197,44,0,
West Virginia,USA,4/19/20,890,20,265,
Maine,USA,4/19/20,867,34,393,
Vermont,USA,4/19/20,813,38,0,
Federal Bureau of Prisons,USA,4/19/20,804,22,184,
North Dakota,USA,4/19/20,585,10,189,
Hawaii,USA,4/19/20,580,10,414,
Montana,USA,4/19/20,433,10,243,
Alaska,USA,4/19/20,319,9,153,
Wyoming,USA,4/19/20,313,2,233,
Guam,USA,4/19/20,136,5,97,
Grand Princess,USA,4/19/20,103,3,0,
United States Virgin Islands,USA,4/19/20,53,3,46,
Diamond Princess,USA,4/19/20,49,0,0,
Northern Mariana Islands,USA,4/19/20,14,2,9,
Wuhan Evacuee,USA,4/19/20,4,0,0,
